skew_percent,baseline_mean,baseline_median,detection_mean,mitigation_mean,end_to_end_mean,mitigation_speedup_mean,end_to_end_speedup_mean,correctness_rate
10.0,0.36055151366842136,0.2785652500024298,0.16069237499808267,0.3744260279975909,0.5351184029956736,0.9349633567832388,0.6541335046274689,1.0
30.0,0.25847147233434953,0.2520026249985676,0.08277616666843333,0.3699853196643137,0.45276148633274715,0.6988565596317032,0.5712162320810245,1.0
50.0,0.2925548750014665,0.2487492500076769,0.08324570800080733,0.354104458669705,0.4373501666705124,0.819182455138377,0.6662634591416143,1.0
70.0,0.22450844466220585,0.2224694169999566,0.08078551433087944,0.34458379133138806,0.42536930566226755,0.6566409523981073,0.5295273035137454,1.0
80.0,0.2314847086672671,0.2325987920048646,0.07911136067317175,0.31718731966975605,0.39629868034292787,0.7312977702344226,0.5878139740813139,1.0
