skew_percent,trial,vanilla_runtime,skewtune_style_runtime,speedup
30.0,1,0.24815904199203942,0.20171537500573322,1.2302435646513616
30.0,2,0.07002783399366308,0.14820891700219363,0.4724940672269173
30.0,3,0.06291945801058318,0.13625670799228828,0.4617714528531266
50.0,1,0.050255042006028816,0.11458024999592453,0.43860125988393567
50.0,2,0.059138666998478584,0.11593412498768885,0.5101057777833625
50.0,3,0.05914045798999723,0.10828062499058433,0.5461776563918047
70.0,1,0.10467979199893307,0.13108225000905804,0.7985809824877089
70.0,2,0.04726033299812116,0.11086699999577831,0.42627953313358147
70.0,3,0.04765183400013484,0.10620912499143742,0.4486604517641637
80.0,1,0.06291887498809956,0.1022358339978382,0.6154287838981193
80.0,2,0.04151320799428504,0.1063357920065755,0.3903973178825619
80.0,3,0.040558084001531824,0.09697287500603124,0.41824153402700814
